title
В пригороде Бишкека на машину с депутатами упало дерево (видео)
ГКНБ задержал членов крупной трансграничной наркогруппировки
Судьи Конституционного суда приняли участие в переписи населения
Акылбек Жапаров посадил саженцы (фото)
В Турции начались переговоры между Россией и Украиной (фото)
Гидрометеорологическая служба: В Бишкеке ожидается усиление северо-западного ветра до 15-20 м/с
Российско-Кыргызский фонд развития принял пакет антикризисных мер
На Иссык-Куле милиционеры задержали двух браконьеров
Служба антимонопольного регулирования провела мониторинг цен на товары в Кеминском районе
«Тазалык» приступил к замене брусчатки в центре Бишкека
Первый зампред кабмина Арзыбек Кожошев встретился с министром энергетики и инфраструктуры ОАЭ Сухейлем Аль-Мазруи
Детский фонд ООН оказал гумпомощь Городской детской клинической больнице
Почти три года житель Кербена не может добиться наказания милиционера за избиение
"Глава МИД встретился с представителями германских компаний, заинтересованных в ведении бизнеса в КР"
Представители госорганов и бизнес-сообщество обсудили оптимизацию торговых процедур в КР
За минувшую неделю пограничники пресекли несколько попыток провоза контрабанды через границу КР
В Иссык-Кульской области откроется медицинский мобильный комплекс (фото)
Акылбек Жапаров подверг жесткой критике состояние скотных рынков столицы и в регионах республики
Глава МИД Руслан Казакбаев встретился с исполнительным директором Восточного комитета германской экономики Михаэлем Хармсом
На сколько за год подорожало топливо в Кыргызстане? (видео)
Сотрудники таможни завоевали призовые места в Кубке Евразии по пауэрлифтингу
Денис Бердаков: За инвестиции в 500 тысяч долларов можно давать вид на жительство в КР
Мэрия Бишкека устраняет стихийную торговлю на Ошском рынке
В Чуйской области столкнулись два праворульных минивэна (фото)
Задержаны контролеры КПП «Кадамджай-автодорожный» за вымогательство взяток
В Бишкеке после ремонта возобновил работу Кыргызский драматический театр
Задержан помощник прокурора Октябрьского района Бишкека за злоупотребление должностным положением
В этом году 7 апреля останется выходным днем
Исхак Масалиев о 26-летнем замглавы ГНС: Его назначили за красивые глаза
Министерству труда передали 310 инвалидных колясок в рамках гуманитарной помощи
